Date/period,Event,Summary,Source
Prior project,Original coder research,"Built Finviz-based low-float momentum screener, random-forest headline sentiment, Prime/Subprime rules, data logger, chart/news GUI; real-time short-interest formula remained unfinished.",DT
2026-07-05,Ownership and reproducibility discussion,"Advisor states work is shared educational material, reusable by future students, and must be independently reproducible.",AM
2026-07-05,Initial project orientation,Adam assigned short-squeeze component first within a larger multi-tab trading platform; IBKR and Schwab accounts requested.,AM
2026-07-06,Formal handoff email,"Adam told to watch demos, get code running, build near-real-time screener, and add new sentiment.",EL
2026-07-06,Source options email,"Advisor prioritizes IBKR, TTM through TD/Schwab, ShortSqueeze.com, and Cboe; ten-day operational deadline.",EL
2026-07-09,Finviz and infrastructure guidance,cURL Impersonate proposed for token refresh; Finviz preferred over delayed free feeds; IBKR subscriptions to be priced; MongoDB and possible Vercel/Railway deployment requested.,AM
2026-07-12,TTM and source comparison,Advisor requests TTM and asks whether data updates minute by minute.,AM
2026-07-12,Observed mover review,"GMM cited as +147% news-driven move with about 8% short interest; goal becomes comparing IBKR, Schwab, and other teams’ signals.",AM
2026-07-16,Live estimate review,"Advisor rejects delayed official short interest as sufficient, requests minute-by-minute estimate using lending data and TTM; identifies timestamps and None fields.",AM
2026-07-17,Signal-quality review,"KLOS, BIYA, and LBGJ examples expose mismatch between Prime/Subprime labels and market reality; zero borrow fee and missing TTM questioned; criteria revision requested.",AM
2026-07-17,TTM clarification,Adam explains TTM is locally calculated from OHLC using standard Bollinger/Keltner logic rather than retrieved from TD/Schwab.,EL
